GA 10" Labsphere panel
Serial # Serial Number : 99AA03-0319-1952	
Comments : Labsphere cal only - This data is for reference only	


Wavelength	K-factor
1917	0.9812
1918	0.9811
1919	0.9811
1920	0.9809
1921	0.9809
1922	0.9811
1923	0.9815
1924	0.9813
1925	0.9811
1926	0.9808
1927	0.9809
1928	0.9808
1929	0.9809
1930	0.9809
1931	0.9807
1932	0.9806
1933	0.9808
1934	0.9807
1935	0.9807
1936	0.9809
1937	0.9809
1938	0.9806
1939	0.9806
1940	0.9808
1941	0.9807
1942	0.9804
1943	0.9805
1944	0.9805
1945	0.9806
1946	0.9807
1947	0.9806
1948	0.9804
1949	0.9800
1950	0.9800
1951	0.9801
1952	0.9800
1953	0.9799
1954	0.9799
1955	0.9800
1956	0.9800
1957	0.9800
1958	0.9797
1959	0.9795
1960	0.9795
1961	0.9793
1962	0.9792
1963	0.9793
1964	0.9791
1965	0.9790
1966	0.9790
1967	0.9789
1968	0.9787
1969	0.9786
1970	0.9785
1971	0.9783
1972	0.9783
1973	0.9785
1974	0.9783
1975	0.9778
1976	0.9781
1977	0.9782
1978	0.9780
1979	0.9778
1980	0.9775
1981	0.9775
1982	0.9774
1983	0.9773
1984	0.9774
1985	0.9771
1986	0.9769
1987	0.9770
1988	0.9765
1989	0.9766
1990	0.9766
1991	0.9762
1992	0.9762
1993	0.9760
1994	0.9758
1995	0.9756
1996	0.9754
1997	0.9751
1998	0.9750
1999	0.9749
2000	0.9747
2001	0.9743
2002	0.9739
2003	0.9742
2004	0.9739
2005	0.9736
2006	0.9735
2007	0.9737
2008	0.9731
2009	0.9728
2010	0.9725
2011	0.9724
2012	0.9724
2013	0.9720
2014	0.9715
2015	0.9713
2016	0.9713
2017	0.9710
2018	0.9709
2019	0.9705
2020	0.9702
2021	0.9703
2022	0.9698
2023	0.9698
2024	0.9695
2025	0.9689
2026	0.9690
2027	0.9687
2028	0.9686
2029	0.9683
2030	0.9677
2031	0.9675
2032	0.9674
2033	0.9674
2034	0.9671
2035	0.9664
2036	0.9663
2037	0.9663
2038	0.9661
2039	0.9658
2040	0.9654
