University of Wollongong	
Serial Number : 10" panel new 2017	
Comments : Lab Cal CSIRO March 2018 	

	
Wavelength K-factor
1415	1.009317757
1416	1.009339947
1417	1.009362563
1418	1.009385565
1419	1.009408912
1420	1.009432565
1421	1.009456483
1422	1.009480626
1423	1.009504955
1424	1.009529428
1425	1.009554007
1426	1.009578651
1427	1.00960332
1428	1.009627974
1429	1.009652573
1430	1.009677076
1431	1.009701444
1432	1.009725637
1433	1.009749614
1434	1.009773335
1435	1.009796761
1436	1.009819851
1437	1.009842566
1438	1.009864865
1439	1.009886707
1440	1.009908054
1441	1.009928865
1442	1.009949099
1443	1.009968717
1444	1.009987679
1445	1.010005945
1446	1.010023474
1447	1.010040227
1448	1.010056163
1449	1.010071242
1450	1.010085425
1451	1.010098681
1452	1.010111026
1453	1.010122482
1454	1.010133074
1455	1.010142828
1456	1.010151766
1457	1.010159914
1458	1.010167297
1459	1.010173937
1460	1.010179861
1461	1.010185091
1462	1.010189654
1463	1.010193572
1464	1.010196871
1465	1.010199575
1466	1.010201708
1467	1.010203294
1468	1.010204359
1469	1.010204926
1470	1.01020502
1471	1.010204666
1472	1.010203887
1473	1.010202708
1474	1.010201153
1475	1.010199248
1476	1.010197015
1477	1.010194481
1478	1.010191669
1479	1.010188603
1480	1.010185308
1481	1.010181808
1482	1.010178128
1483	1.010174293
1484	1.010170325
1485	1.010166251
1486	1.010162094
1487	1.010157879
1488	1.01015363
1489	1.010149372
1490	1.010145128
1491	1.010140924
1492	1.010136784
1493	1.010132732
1494	1.010128793
1495	1.01012499
1496	1.010121349
1497	1.010117894
1498	1.010114649
1499	1.010111638
1500	1.010108887
1501	1.010106414
1502	1.010104217
1503	1.010102291
1504	1.010100627
1505	1.010099221
1506	1.010098064
1507	1.01009715
1508	1.010096472
1509	1.010096024
1510	1.0100958
1511	1.010095791
1512	1.010095992
1513	1.010096395
1514	1.010096995
1515	1.010097784
1516	1.010098755
1517	1.010099902
1518	1.010101219
1519	1.010102698
1520	1.010104332
1521	1.010106116
1522	1.010108041
1523	1.010110103
1524	1.010112293
1525	1.010114605
1526	1.010117032
1527	1.010119569
1528	1.010122207
1529	1.01012494
1530	1.010127762
1531	1.010130665
1532	1.010133643
1533	1.01013669
1534	1.010139798
1535	1.010142962
1536	1.010146173
1537	1.010149426
1538	1.010152713
1539	1.010156028
1540	1.010159365
1541	1.010162716
1542	1.010166075
1543	1.010169435
1544	1.010172789
1545	1.010176131
1546	1.010179454
1547	1.010182751
1548	1.010186015
1549	1.01018924
1550	1.010192419
1551	1.010195545
1552	1.010198603
1553	1.010201582
1554	1.010204466
1555	1.010207242
1556	1.010209896
1557	1.010212415
1558	1.010214784
1559	1.010216989
1560	1.010219018
1561	1.010220855
1562	1.010222488
1563	1.010223902
1564	1.010225083
1565	1.010226018
1566	1.010226693
1567	1.010227094
1568	1.010227207
1569	1.010227018
1570	1.010226514
1571	1.01022568
1572	1.010224503
1573	1.01022297
1574	1.010221065
1575	1.010218776
1576	1.010216089
1577	1.010212989
1578	1.010209463
1579	1.010205497
1580	1.010201077
1581	1.010196189
1582	1.01019082
1583	1.010184956
1584	1.010178583
1585	1.010171686
1586	1.010164253
1587	1.010156269
1588	1.010147721
1589	1.010138595
1590	1.010128876
1591	1.010118552
1592	1.010107607
1593	1.010096029
1594	1.010083804
1595	1.010070918
1596	1.010057356
1597	1.010043105
1598	1.010028152
1599	1.010012482
1600	1.009996082
1601	1.009978941
1602	1.009961071
1603	1.009942483
1604	1.009923192
1605	1.009903212
1606	1.009882555
1607	1.009861237
1608	1.009839269
1609	1.009816667
1610	1.009793443
1611	1.009769611
1612	1.009745186
1613	1.00972018
1614	1.009694607
1615	1.009668481
1616	1.009641816
1617	1.009614625
1618	1.009586922
1619	1.00955872
1620	1.009530034
1621	1.009500876
1622	1.009471261
1623	1.009441203
1624	1.009410713
1625	1.009379808
1626	1.009348499
1627	1.009316801
1628	1.009284728
1629	1.009252293
1630	1.009219509
1631	1.009186391
1632	1.009152952
1633	1.009119206
1634	1.009085166
1635	1.009050846
1636	1.009016259
1637	1.00898142
1638	1.008946342
1639	1.008911039
1640	1.008875524
1641	1.00883981
1642	1.008803913
1643	1.008767844
1644	1.008731619
1645	1.00869525
1646	1.008658751
1647	1.008622136
1648	1.008585419
1649	1.008548612
1650	1.008511731
